order_id,order_date,customer_id,customer_age,customer_gender,region,product_category,product_name,quantity,price,discount,total_sales,payment_method,year,month,month_name,quarter,day_of_week,cost,profit,profit_margin,revenue
ORD100000,2023-01-01,CUST05574,34.0,Female,West,Clothing,T-Shirt,2,750.0,0,1500.0,UPI,2023,1,Jan,1,Sunday,675.0,825.0,55.0,1500.0
ORD100001,2023-01-01,CUST03069,30.0,Unknown,East,Food & Grocery,Organic Tea,1,350.0,5,332.5,Credit Card,2023,1,Jan,1,Sunday,182.88,149.62,45.0,332.5
ORD100002,2023-01-01,CUST06940,23.0,Male,South,Sports,Dumbbell Set,1,6460.0,10,5814.0,Cash,2023,1,Jan,1,Sunday,2790.72,3023.28,52.0,5814.0
ORD100003,2023-01-01,CUST01276,42.0,Male,North,Food & Grocery,Protein Bar,3,220.0,10,594.0,UPI,2023,1,Jan,1,Sunday,326.7,267.3,45.0,594.0
ORD100004,2023-01-01,CUST03814,18.0,Male,South,Beauty,Face Cream,1,800.0,0,800.0,Net Banking,2023,1,Jan,1,Sunday,320.0,480.0,60.0,800.0
ORD100005,2023-01-01,CUST06020,48.0,Male,West,Beauty,Hair Serum,1,760.0,5,722.0,Credit Card,2023,1,Jan,1,Sunday,288.8,433.2,60.0,722.0
ORD100006,2023-01-01,CUST04156,44.0,Female,East,Electronics,Camera,1,44830.0,5,42588.5,UPI,2023,1,Jan,1,Sunday,25553.1,17035.4,40.0,42588.5
ORD100007,2023-01-01,CUST05148,40.0,Female,South,Clothing,Jacket,1,3150.0,5,2992.5,Credit Card,2023,1,Jan,1,Sunday,1346.62,1645.88,55.0,2992.5
ORD100008,2023-01-01,CUST06693,42.0,Male,Central,Electronics,Tablet,1,31990.0,10,28791.0,Credit Card,2023,1,Jan,1,Sunday,17274.6,11516.4,40.0,28791.0
ORD100009,2023-01-01,CUST04132,31.0,Female,West,Beauty,Hair Serum,1,700.0,20,560.0,Debit Card,2023,1,Jan,1,Sunday,224.0,336.0,60.0,560.0
ORD100010,2023-01-01,CUST05770,34.0,Female,North,Clothing,Dress,1,2110.0,10,1899.0,Debit Card,2023,1,Jan,1,Sunday,854.55,1044.45,55.0,1899.0
ORD100011,2023-01-01,CUST05950,52.0,Female,West,Beauty,Lipstick,1,610.0,10,549.0,Net Banking,2023,1,Jan,1,Sunday,219.6,329.4,60.0,549.0
ORD100012,2023-01-01,CUST05519,33.0,Female,West,Clothing,Formal Shirt,2,1280.0,0,2560.0,UPI,2023,1,Jan,1,Sunday,1152.0,1408.0,55.0,2560.0
ORD100013,2023-01-01,CUST07123,39.0,Male,Central,Toys,Board Game,1,1310.0,0,1310.0,Cash,2023,1,Jan,1,Sunday,681.2,628.8,48.0,1310.0
ORD100014,2023-01-01,CUST03006,41.0,Female,West,Electronics,Smartwatch,2,11980.0,10,21564.0,EMI,2023,1,Jan,1,Sunday,12938.4,8625.6,40.0,21564.0
ORD100015,2023-01-01,CUST06201,36.0,Male,North,Electronics,Headphones,1,5220.0,25,3915.0,Net Banking,2023,1,Jan,1,Sunday,2349.0,1566.0,40.0,3915.0
ORD100016,2023-01-01,CUST05666,32.0,Female,West,Clothing,T-Shirt,1,880.0,0,880.0,Debit Card,2023,1,Jan,1,Sunday,396.0,484.0,55.0,880.0
ORD100017,2023-01-01,CUST01854,18.0,Female,Central,Home & Garden,Kitchen Set,2,7290.0,0,14580.0,UPI,2023,1,Jan,1,Sunday,7290.0,7290.0,50.0,14580.0
ORD100018,2023-01-01,CUST01768,44.0,Other,East,Clothing,Formal Shirt,2,1280.0,10,2304.0,UPI,2023,1,Jan,1,Sunday,1036.8,1267.2,55.0,2304.0
ORD100019,2023-01-01,CUST02522,47.0,Male,West,Beauty,Hair Serum,4,660.0,20,2112.0,UPI,2023,1,Jan,1,Sunday,844.8,1267.2,60.0,2112.0
ORD100020,2023-01-01,CUST04243,35.0,Male,East,Electronics,Smartphone,1,47560.0,10,42804.0,Debit Card,2023,1,Jan,1,Sunday,25682.4,17121.6,40.0,42804.0
ORD100021,2023-01-01,CUST07201,49.0,Male,East,Clothing,Jeans,1,1580.0,0,1580.0,Credit Card,2023,1,Jan,1,Sunday,711.0,869.0,55.0,1580.0
ORD100022,2023-01-01,CUST04283,39.0,Male,East,Toys,Remote Car,1,1580.0,0,1580.0,EMI,2023,1,Jan,1,Sunday,821.6,758.4,48.0,1580.0
ORD100023,2023-01-01,CUST03229,18.0,Male,East,Electronics,Smartphone,4,38460.0,20,123072.0,Credit Card,2023,1,Jan,1,Sunday,73843.2,49228.8,40.0,123072.0
ORD100024,2023-01-01,CUST04791,22.0,Female,South,Food & Grocery,Olive Oil,1,550.0,10,495.0,Net Banking,2023,1,Jan,1,Sunday,272.25,222.75,45.0,495.0
ORD100025,2023-01-01,CUST06912,29.0,Male,East,Food & Grocery,Nuts & Dry Fruits,2,660.0,0,1320.0,Credit Card,2023,1,Jan,1,Sunday,726.0,594.0,45.0,1320.0
ORD100026,2023-01-01,CUST06029,27.0,Male,East,Electronics,Smartphone,1,42340.0,15,35989.0,EMI,2023,1,Jan,1,Sunday,21593.4,14395.6,40.0,35989.0
ORD100027,2023-01-01,CUST01408,35.0,Male,East,Clothing,Jeans,3,1960.0,15,4998.0,Debit Card,2023,1,Jan,1,Sunday,2249.1,2748.9,55.0,4998.0
ORD100028,2023-01-01,CUST05581,23.0,Female,East,Clothing,Dress,1,2260.0,15,1921.0,UPI,2023,1,Jan,1,Sunday,864.45,1056.55,55.0,1921.0
ORD100029,2023-01-01,CUST05102,55.0,Female,North,Beauty,Lipstick,1,530.0,20,424.0,Credit Card,2023,1,Jan,1,Sunday,169.6,254.4,60.0,424.0
ORD100030,2023-01-01,CUST01429,18.0,Male,East,Sports,Dumbbell Set,1,6070.0,0,6070.0,UPI,2023,1,Jan,1,Sunday,2913.6,3156.4,52.0,6070.0
ORD100031,2023-01-01,CUST02359,34.0,Male,North,Books,Cookbook,1,480.0,25,360.0,UPI,2023,1,Jan,1,Sunday,126.0,234.0,65.0,360.0
ORD100032,2023-01-01,CUST03677,26.0,Male,West,Beauty,Perfume,3,2280.0,30,4788.0,Debit Card,2023,1,Jan,1,Sunday,1915.2,2872.8,60.0,4788.0
ORD100033,2023-01-01,CUST04618,19.0,Female,South,Electronics,Tablet,1,33150.0,0,33150.0,Credit Card,2023,1,Jan,1,Sunday,19890.0,13260.0,40.0,33150.0
ORD100034,2023-01-01,CUST06114,42.0,Female,South,Toys,Remote Car,1,1420.0,0,1420.0,Debit Card,2023,1,Jan,1,Sunday,738.4,681.6,48.0,1420.0
ORD100035,2023-01-01,CUST06214,22.0,Male,West,Beauty,Perfume,1,2560.0,5,2432.0,UPI,2023,1,Jan,1,Sunday,972.8,1459.2,60.0,2432.0
ORD100036,2023-01-01,CUST05028,35.0,Female,South,Sports,Dumbbell Set,1,5470.0,0,5470.0,Credit Card,2023,1,Jan,1,Sunday,2625.6,2844.4,52.0,5470.0
ORD100037,2023-01-01,CUST04072,23.0,Male,West,Toys,Remote Car,2,1410.0,15,2397.0,Credit Card,2023,1,Jan,1,Sunday,1246.44,1150.56,48.0,2397.0
ORD100038,2023-01-01,CUST04475,18.0,Female,Central,Beauty,Perfume,1,2840.0,10,2556.0,EMI,2023,1,Jan,1,Sunday,1022.4,1533.6,60.0,2556.0
ORD100039,2023-01-01,CUST06561,32.0,Unknown,East,Clothing,Jacket,1,3930.0,15,3340.5,Cash,2023,1,Jan,1,Sunday,1503.23,1837.27,55.0,3340.5
