order_id,order_date,customer_id,customer_age,customer_gender,region,product_category,product_name,quantity,price,discount,total_sales,payment_method
ORD100000,2023-01-01,CUST05574,34.0,Female,West,Clothing,T-Shirt,2,750.0,0,1500.0,UPI
ORD100001,2023-01-01,CUST03069,30.0,,East,Food & Grocery,Organic Tea,1,350.0,5,332.5,Credit Card
ORD100002,2023-01-01,CUST06940,23.0,Male,South,Sports,Dumbbell Set,1,6460.0,10,5814.0,Cash
ORD100003,2023-01-01,CUST01276,42.0,Male,North,Food & Grocery,Protein Bar,3,220.0,10,594.0,UPI
ORD100004,2023-01-01,CUST03814,18.0,Male,South,Beauty,Face Cream,1,800.0,0,800.0,Net Banking
ORD100005,2023-01-01,CUST06020,48.0,Male,West,Beauty,Hair Serum,1,760.0,5,722.0,Credit Card
ORD100006,2023-01-01,CUST04156,44.0,Female,East,Electronics,Camera,1,44830.0,5,42588.5,UPI
ORD100007,2023-01-01,CUST05148,40.0,Female,South,Clothing,Jacket,1,3150.0,5,2992.5,Credit Card
ORD100008,2023-01-01,CUST06693,42.0,Male,Central,Electronics,Tablet,1,31990.0,10,28791.0,Credit Card
ORD100009,2023-01-01,CUST04132,31.0,Female,West,Beauty,Hair Serum,1,700.0,20,560.0,Debit Card
ORD100010,2023-01-01,CUST05770,34.0,Female,North,Clothing,Dress,1,2110.0,10,1899.0,Debit Card
ORD100011,2023-01-01,CUST05950,52.0,Female,West,Beauty,Lipstick,1,610.0,10,549.0,Net Banking
ORD100012,2023-01-01,CUST05519,33.0,Female,West,Clothing,Formal Shirt,2,1280.0,0,2560.0,UPI
ORD100013,2023-01-01,CUST07123,39.0,Male,Central,Toys,Board Game,1,1310.0,0,1310.0,Cash
ORD100014,2023-01-01,CUST03006,41.0,Female,West,Electronics,Smartwatch,2,11980.0,10,21564.0,EMI
ORD100015,2023-01-01,CUST06201,36.0,Male,North,Electronics,Headphones,1,5220.0,25,3915.0,Net Banking
ORD100016,2023-01-01,CUST05666,32.0,Female,West,Clothing,T-Shirt,1,880.0,0,880.0,Debit Card
ORD100017,2023-01-01,CUST01854,18.0,Female,Central,Home & Garden,Kitchen Set,2,7290.0,0,14580.0,UPI
ORD100018,2023-01-01,CUST01768,44.0,Other,East,Clothing,Formal Shirt,2,1280.0,10,2304.0,UPI
ORD100019,2023-01-01,CUST02522,47.0,Male,West,Beauty,Hair Serum,4,660.0,20,2112.0,UPI
ORD100020,2023-01-01,CUST04243,35.0,Male,East,Electronics,Smartphone,1,47560.0,10,42804.0,Debit Card
ORD100021,2023-01-01,CUST07201,49.0,Male,East,Clothing,Jeans,1,1580.0,0,1580.0,Credit Card
ORD100022,2023-01-01,CUST04283,39.0,Male,East,Toys,Remote Car,1,1580.0,0,1580.0,EMI
ORD100023,2023-01-01,CUST03229,18.0,Male,East,Electronics,Smartphone,4,38460.0,20,123072.0,Credit Card
ORD100024,2023-01-01,CUST04791,22.0,Female,South,Food & Grocery,Olive Oil,1,550.0,10,495.0,Net Banking
